face_id,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,Nose_x,Nose_y,Mouth_x,Mouth_y,file_id,sex
39446,114.0,114.0,170.0,67.0,208.0,117.0,215.0,156.0,image00743.jpg,f
39449,145.0,128.0,206.0,98.0,203.0,131.0,215.0,167.0,image00779.jpg,f
39450,250.0,118.0,268.0,113.0,282.0,129.0,280.0,145.0,image00781.jpg,f
39455,330.6899108886719,179.35133361816406,355.33184814453125,180.04873657226562,343.3464660644531,193.8188934326172,341.7322692871094,204.9231414794922,image00829.jpg,f
39457,161.0,239.0,254.0,260.0,230.0,314.0,209.0,357.0,image00840.jpg,f
39458,279.0,157.0,324.0,158.0,323.0,200.0,308.0,227.0,image00850.jpg,f
39459,146.0,136.0,226.0,101.0,214.0,161.0,224.0,197.0,image00874.jpg,f
39460,171.0,80.0,226.0,64.0,236.0,91.0,235.0,129.0,image00902.jpg,m
39461,88.0,142.0,113.5616455078125,145.61643981933594,103.83561706542969,166.02740478515625,99.96194458007812,173.44749450683594,image00929.jpg,f
39462,211.2410888671875,144.18447875976562,236.89913940429688,146.96287536621094,223.0,164.0,221.82601928710938,172.96400451660156,image00929.jpg,f
39463,333.0,117.0,347.0,118.0,335.03936767578125,127.4615707397461,334.0,136.0,image00929.jpg,f
39464,91.55792999267578,363.49456787109375,116.35545349121094,363.9145202636719,111.0,380.0,106.0,392.0,image00929.jpg,f
39466,320.4311828613281,336.49420166015625,332.0,334.0,323.42706298828125,343.50579833984375,327.03411865234375,349.21258544921875,image00929.jpg,f
39468,260.0,255.0,431.0,200.0,429.0,362.0,423.0,466.0,image00939.jpg,f
39470,103.0,196.0,178.0,201.0,170.0,238.0,162.0,288.0,image00963.jpg,f
39478,158.0,122.0,208.0,117.0,204.0,156.0,200.0,179.0,image01040.jpg,f
39479,246.0,111.0,286.0,118.0,280.0,148.0,268.0,174.0,image01062.jpg,f
39480,269.0,58.0,367.0,63.0,321.0,135.0,315.0,165.0,image01120.jpg,f
39481,160.0,186.0,215.0,182.0,212.0,223.0,199.0,259.0,image01155.jpg,f
39482,123.0,151.0,200.0,121.0,199.0,187.0,200.0,217.0,image01157.jpg,f
39484,217.0,210.0,356.0,182.0,304.0,296.0,317.0,351.0,image01243.jpg,f
39485,356.0,341.0,476.0,364.0,475.0,447.0,437.0,564.0,image01246.jpg,f
39486,289.0,146.0,339.0,164.0,339.0,192.0,318.0,227.0,image01283.jpg,f
39487,210.0,160.0,253.0,159.0,249.0,208.0,235.0,230.0,image01294.jpg,f
39488,202.0,155.0,234.0,151.0,237.0,178.0,228.0,195.0,image01299.jpg,f
39492,145.0,166.0,194.0,163.0,181.0,193.0,177.0,222.0,image01362.jpg,m
39496,166.0,256.0,221.0,254.0,223.0,303.0,204.0,340.0,image01474.jpg,f
39497,152.0,273.0,215.0,273.0,200.0,326.0,184.0,357.0,image01477.jpg,f
39510,1318.0,1380.0,1720.0,1254.0,1855.0,1559.0,1748.0,1805.0,image01575.jpg,f
39525,238.0,204.0,331.0,221.0,349.0,322.0,300.0,386.0,image01677.jpg,m
39526,178.0,164.0,249.0,159.0,266.0,213.0,251.0,276.0,image01688.jpg,m
39527,361.0,362.0,509.0,430.0,500.0,587.0,417.0,674.0,image01690.jpg,f
39531,1137.0,633.0,1352.0,684.0,1480.0,951.0,1377.0,1159.0,image01733.jpg,m
39532,210.0,168.0,284.0,151.0,283.0,242.0,260.0,283.0,image01739.jpg,f
39537,176.0,113.0,206.0,99.0,213.0,125.0,215.0,146.0,image01763.jpg,m
39538,234.0,145.0,270.0,144.0,274.0,175.0,262.0,201.0,image01781.jpg,f
39539,241.0,160.0,258.0,148.0,272.0,172.0,267.0,191.0,image01783.jpg,f
39542,206.0,218.0,301.0,170.0,229.0,288.0,274.0,332.0,image01787.jpg,f
39544,320.0,110.0,366.0,113.0,368.0,164.0,348.0,203.0,image01797.jpg,f
39547,440.0,352.0,697.0,274.0,615.0,415.0,640.0,568.0,image01828.jpg,f
39550,294.0,155.0,324.0,157.0,315.0,179.0,304.0,196.0,image01841.jpg,m
39555,332.0,162.0,372.0,176.0,376.0,235.0,345.0,273.0,image01851.jpg,f
39556,121.0,99.0,215.0,69.0,212.0,155.0,189.0,206.0,image01857.jpg,f
39561,620.0,181.0,657.0,179.0,655.0,206.0,645.0,234.0,image01892.jpg,f
39566,462.0,993.0,704.0,959.0,710.0,1164.0,648.0,1298.0,image01938.jpg,f
39572,388.0,87.0,458.0,98.0,440.0,148.0,421.0,183.0,image01986.jpg,f
39573,278.0,152.0,318.0,157.0,304.0,182.0,295.0,200.0,image01989.jpg,f
39574,161.0,205.0,232.0,212.0,216.0,257.0,203.0,296.0,image02013.jpg,f
39576,274.0,101.0,384.0,165.0,300.0,208.0,266.0,261.0,image02032.jpg,f
39583,230.0,175.0,286.0,181.0,278.0,227.0,263.0,252.0,image02100.jpg,f
39585,211.0,128.0,243.0,131.0,245.0,168.0,225.0,189.0,image02116.jpg,f
39586,70.0,234.0,170.0,163.0,170.0,293.0,196.0,322.0,image02125.jpg,f
39589,210.0,189.0,250.0,204.0,240.0,228.0,227.0,248.0,image02209.jpg,f
39590,369.79376220703125,259.88751220703125,391.75103759765625,252.8083953857422,377.9527587890625,273.3258361816406,385.5643005371094,281.86163330078125,image02209.jpg,f
39591,277.0,153.0,326.0,161.0,319.0,184.0,308.0,211.0,image02211.jpg,f
39592,335.0,271.0,434.0,286.0,417.0,360.0,383.0,406.0,image02212.jpg,f
39594,193.0,123.0,237.0,119.0,225.0,158.0,215.0,181.0,image02242.jpg,f
39596,166.0,89.0,204.0,90.0,166.0,119.0,172.0,139.0,image02246.jpg,f
39597,232.0,138.0,298.0,154.0,289.0,179.0,274.0,216.0,image02247.jpg,f
39601,355.0,493.0,768.0,327.0,644.0,743.0,735.0,933.0,image02286.jpg,m
39606,472.0,138.0,632.0,86.0,582.0,241.0,613.0,296.0,image02302.jpg,f
39607,140.0,131.0,172.0,117.0,176.0,142.0,180.0,167.0,image02317.jpg,f
39611,366.0,189.0,501.0,187.0,433.0,275.0,428.0,327.0,image02428.jpg,m
39620,111.0,128.0,199.0,91.0,226.0,167.0,217.0,209.0,image02531.jpg,f
39621,181.0,136.0,256.0,117.0,272.0,195.0,252.0,234.0,image02547.jpg,f
39622,231.0,153.0,326.0,116.0,287.0,224.0,319.0,262.0,image02556.jpg,f
39624,174.0,177.0,232.0,192.0,223.0,235.0,203.0,261.0,image02595.jpg,f
39626,1159.0,824.0,1522.0,784.0,1455.0,1018.0,1435.0,1221.0,image02621.jpg,f
39630,115.0,198.0,196.0,190.0,186.0,267.0,167.0,301.0,image02635.jpg,f
39632,138.0,63.0,193.0,83.0,213.0,120.0,194.0,178.0,image02659.jpg,f
39633,301.0,157.0,338.0,160.0,352.0,198.0,336.0,232.0,image02674.jpg,f
39634,176.0,119.0,221.0,116.0,218.0,154.0,207.0,180.0,image02720.jpg,f
39636,205.0,152.0,295.0,193.0,186.578659057617,230.583053588867,207.700775146484,292.189208984375,image02750.jpg,f
39637,147.0,168.0,234.0,162.0,231.0,242.0,217.0,284.0,image02752.jpg,f
39639,2243.0,1273.0,2673.0,1256.0,2506.0,1625.0,2400.0,1748.0,image02775.jpg,f
39643,134.0,129.0,180.0,113.0,192.0,164.0,176.0,190.0,image02811.jpg,f
39644,539.0,271.0,607.0,257.0,646.0,343.0,616.0,427.0,image02812.jpg,f
39646,338.0,211.0,402.0,211.0,404.0,274.0,383.0,315.0,image02866.jpg,f
39647,1071.0,975.0,1673.0,899.0,1615.0,1412.0,1528.0,1666.0,image02884.jpg,m
39650,102.0,224.0,134.0,179.0,145.0,208.0,163.0,232.0,image02936.jpg,f
39651,629.0,401.0,746.0,375.0,798.0,477.0,794.0,586.0,image02941.jpg,m
39654,876.0,683.0,1169.67553710938,798.394287109375,824.914367675781,876.558776855469,861.205017089844,1059.40783691406,image02992.jpg,f
39656,133.0,102.0,168.0,100.0,168.0,128.0,162.0,150.0,image03008.jpg,f
39657,343.0,367.0,425.0,317.0,443.0,397.0,446.0,442.0,image03016.jpg,f
39658,793.0,231.0,1120.0,269.0,1116.0,557.0,1013.0,718.0,image03024.jpg,f
39660,1415.0,2145.0,1771.0,2163.0,1718.0,2589.0,1440.0,2751.0,image03040.jpg,m
39661,254.0,128.0,335.0,100.0,331.0,164.0,338.0,200.0,image03044.jpg,f
39662,98.0,243.0,206.0,186.0,136.0,311.0,184.0,357.0,image03050.jpg,f
39664,189.0,424.0,356.0,322.0,310.0,418.0,353.0,513.0,image03102.jpg,f
39665,2646.0,913.0,3088.0,1376.0,3078.0,1767.0,2677.0,2147.0,image03149.jpg,f
39668,450.531860351563,181.643005371094,538.0,179.0,497.015319824219,244.932006835938,496.657745361328,276.397735595703,image03173.jpg,f
39670,446.0,399.0,617.0,448.0,651.0,645.0,544.0,735.0,image03179.jpg,f
39672,335.0,157.0,356.0,146.0,365.0,184.0,354.0,215.0,image03194.jpg,m
39681,323.0,75.0,351.0,74.0,341.0,91.0,340.0,107.0,image03350.jpg,m
39685,186.0,151.0,209.0,153.0,213.0,178.0,202.0,197.0,image03455.jpg,f
39686,152.0,158.0,180.0,156.0,177.0,175.0,171.0,190.0,image03457.jpg,f
39687,167.0,163.0,201.0,170.0,189.0,181.0,183.0,195.0,image03465.jpg,m
39688,171.0,97.0,189.0,94.0,191.0,105.0,188.0,120.0,image03472.jpg,f
39689,111.0,120.0,139.0,121.0,141.0,130.0,141.0,152.0,image03475.jpg,f
39690,132.0,124.0,149.0,128.0,147.0,133.0,142.0,147.0,image03498.jpg,m
39691,238.0,160.0,262.0,148.0,264.0,174.0,261.0,191.0,image03505.jpg,m
39693,288.0,312.0,335.0,321.0,308.0,354.0,298.0,374.0,image03541.jpg,f
39696,295.0,202.0,359.0,170.0,362.0,226.0,365.0,269.0,image03562.jpg,f
39697,378.489868164063,350.400238037109,453.035430908203,375.968994140625,380.0,405.0,372.0,447.0,image03562.jpg,f
39698,115.0,139.0,147.0,116.0,156.0,150.0,161.0,169.0,image03566.jpg,f
39699,318.0,228.0,384.0,227.0,371.0,293.0,349.0,334.0,image03567.jpg,f
39700,433.0,191.0,493.0,198.0,469.0,242.0,462.0,270.0,image03574.jpg,f
39701,354.0,305.0,453.0,291.0,426.0,388.0,411.0,430.0,image03585.jpg,f
39703,152.0,199.0,196.0,203.0,189.0,240.0,174.0,262.0,image03629.jpg,f
39704,166.0,208.0,202.0,215.0,199.0,241.0,187.0,262.0,image03640.jpg,f
39705,132.0,219.0,171.0,219.0,169.0,237.0,166.0,260.0,image03647.jpg,f
39706,663.0,433.0,790.0,389.0,693.0,538.0,747.0,600.0,image03657.jpg,f
39708,355.0,262.0,387.0,256.0,383.0,285.0,377.0,307.0,image03668.jpg,f
39709,174.0,124.0,200.0,119.0,205.0,148.0,203.0,169.0,image03671.jpg,f
39710,216.0,125.0,249.0,130.0,237.0,153.0,229.0,172.0,image03674.jpg,f
39713,260.0,246.0,300.0,234.0,302.0,280.0,289.0,309.0,image03686.jpg,f
39714,255.0,384.0,294.0,392.0,281.0,419.0,270.0,440.0,image03713.jpg,f
39715,183.0,200.0,218.0,191.0,209.0,224.0,206.0,240.0,image03721.jpg,f
39717,250.0,190.0,285.0,171.0,289.0,214.0,277.0,240.0,image03728.jpg,f
39718,291.743713378906,89.5758972167969,318.0,90.0,309.990661621094,106.993431091309,305.0,121.0,image03775.jpg,f
39719,3134.0,1147.0,3417.0,1164.0,3379.0,1249.0,3383.0,1406.0,image03786.jpg,f
39720,483.0,175.0,521.0,145.0,508.0,190.0,528.0,211.0,image03807.jpg,f
39721,391.0,235.0,464.0,193.0,455.0,263.0,467.0,289.0,image03823.jpg,f
39723,670.0,172.0,861.0,267.0,772.0,287.0,701.0,387.0,image03869.jpg,f
39725,214.0,248.0,309.0,243.0,347.0,338.0,312.0,399.0,image03873.jpg,m
39727,86.0,142.0,146.0,154.0,88.0,180.0,86.0,215.0,image03886.jpg,f
39728,191.0,193.0,284.0,138.0,297.0,217.0,300.0,262.0,image03894.jpg,f
39731,468.0,178.0,549.0,187.0,501.0,229.0,501.0,268.0,image03908.jpg,m
39732,173.0,218.0,222.0,216.0,214.0,266.0,195.0,291.0,image03928.jpg,f
39735,290.0,94.0,342.0,89.0,307.0,129.0,314.914154052734,156.115875244141,image03965.jpg,f
39741,336.0,151.0,481.0,214.0,428.0,310.0,364.0,378.0,image04018.jpg,f
39742,512.0,85.0,586.0,246.0,497.0,293.0,421.0,320.0,image04024.jpg,f
39743,256.0,379.0,409.0,418.0,358.0,517.0,307.0,610.0,image04027.jpg,m
39744,268.0,137.0,380.0,145.0,373.0,208.0,349.0,266.0,image04059.jpg,f
39745,1155.0,960.0,1343.0,908.0,1412.0,1180.0,1354.0,1346.0,image04096.jpg,f
39747,126.0,258.0,195.0,164.0,239.0,296.0,205.0,361.0,image04129.jpg,f
39749,378.0,170.0,431.0,149.0,441.0,202.0,435.0,242.0,image04168.jpg,m
39757,167.0,115.0,207.0,107.0,212.0,148.0,208.0,187.0,image04294.jpg,f
39762,513.0,321.0,665.0,245.0,594.0,429.0,659.0,484.0,image04332.jpg,f
39764,257.0509948730469,81.87476348876953,272.6509094238281,81.07986450195312,274.96063232421875,93.84701538085938,271.61981201171875,105.79302215576172,image04126.jpg,f
39766,573.0,253.0,456.0,403.0,394.0,236.0,355.0,196.0,image04157.jpg,f
39769,543.0,456.0,719.0,455.0,682.0,572.0,668.0,681.0,image04241.jpg,m
39770,161.0,136.0,198.0,126.0,231.0,171.0,226.931335449219,212.446350097656,image04257.jpg,f
39773,160.0,88.0,177.0,88.0,175.29058837890625,102.28721618652344,170.0,111.0,image04348.jpg,f
39774,411.9834899902344,89.59130096435547,430.7367858886719,89.3025894165039,426.0,101.0,421.0,111.0,image04348.jpg,f
39775,257.0,281.0,341.0,252.0,348.0,321.0,347.0,383.0,image04355.jpg,f
39782,607.0,434.0,676.0,486.0,595.0,467.0,565.0,521.0,image04392.jpg,f
39785,203.0,163.0,245.0,163.0,255.0,209.0,227.0,251.0,image04398.jpg,m
39787,2086.0,834.0,2109.0,1274.0,1767.0,1058.0,1614.0,1044.0,image04416.jpg,m
39789,391.0,361.0,495.0,340.0,451.0,431.0,460.0,458.0,image04421.jpg,f
39790,172.0,135.0,216.0,122.0,223.0,146.0,219.0,174.0,image04425.jpg,m
39793,194.0,206.0,240.0,220.0,231.0,241.0,222.0,263.0,image04431.jpg,f
39795,734.0,896.0,1172.0,1236.0,727.0,1318.0,562.0,1510.0,image04447.jpg,f
39796,317.0,257.0,374.0,249.0,381.0,309.0,355.0,357.0,image04448.jpg,f
39797,234.0,76.0,327.0,83.0,301.0,135.0,278.0,201.0,image04473.jpg,m
39798,610.0,247.0,690.0,269.0,695.0,335.0,653.0,398.0,image04506.jpg,f
39802,169.0,156.0,233.0,127.0,246.0,188.0,231.0,225.0,image04581.jpg,f
39803,337.0,263.0,372.0,271.0,373.0,284.0,361.0,310.0,image04594.jpg,f
39804,526.0,83.0,588.0,86.0,587.0,126.0,574.0,160.0,image04619.jpg,f
39805,89.0,67.0,119.0,59.0,120.0,87.0,120.0,105.0,image04622.jpg,f
39806,169.0,50.0,205.0,51.0,189.0,81.0,185.0,93.0,image04622.jpg,f
39807,282.0,66.0,320.0,54.0,306.0,87.0,313.0,103.0,image04622.jpg,f
39808,390.0,64.0,431.0,53.0,416.0,87.0,419.0,105.0,image04622.jpg,f
39809,165.0,210.0,209.0,212.0,205.0,254.0,185.0,287.0,image04629.jpg,f
39810,151.0,132.0,252.0,121.0,248.0,215.0,224.0,271.0,image04632.jpg,f
39813,145.0,116.0,171.0,111.0,171.0,132.0,167.0,147.0,image04647.jpg,f
39814,104.0,109.0,149.0,92.0,147.0,131.0,148.0,152.0,image04660.jpg,f
39815,205.0,107.0,245.0,87.0,234.0,132.0,246.0,147.0,image04660.jpg,f
39816,83.0,117.0,114.0,109.0,117.0,134.0,114.0,153.0,image04669.jpg,f
39817,164.0,99.0,202.0,100.0,185.0,129.0,180.0,142.0,image04669.jpg,f
39818,276.0,113.0,314.0,102.0,299.0,135.0,306.0,153.0,image04669.jpg,f
39819,385.0,111.0,426.0,102.0,410.0,138.0,415.0,155.0,image04669.jpg,f
39824,180.0,65.0,206.43045043945312,66.4041976928711,196.82789611816406,79.11135864257812,194.0,95.0,image04685.jpg,f
39825,306.0,223.0,370.0,221.0,375.0,276.0,351.0,315.0,image04697.jpg,f
39826,299.0,214.0,384.0,215.0,380.0,244.0,376.0,299.0,image04699.jpg,f
39827,772.0,786.0,1138.0,937.0,784.0,1080.0,761.0,1256.0,image04750.jpg,f
39828,793.0,578.0,1084.0,597.0,747.0,796.0,823.0,1000.0,image04754.jpg,f
39829,129.0,86.0,155.0,87.0,150.0,104.0,146.0,120.0,image04786.jpg,m
39832,225.49681091308594,184.00074768066406,237.120361328125,176.2129669189453,244.1338653564453,184.60629272460938,244.88938903808594,205.0543670654297,image04810.jpg,m
39835,264.0,135.0,277.0,135.0,278.0,148.0,274.0,158.0,image04829.jpg,f
39838,137.0,176.0,177.0,148.0,173.0,195.0,196.0,206.0,image04876.jpg,m
39839,152.0,186.0,186.0,184.0,186.0,215.0,175.0,232.0,image04881.jpg,f
39840,165.92800903320312,129.4263153076172,183.99325561523438,129.550048828125,183.7664031982422,145.204345703125,176.31045532226562,157.8252716064453,image04892.jpg,m
39844,164.0,168.0,191.0,165.0,185.0,187.0,184.0,199.0,image04924.jpg,m
39845,245.89041137695312,122.60273742675781,266.0,121.0,266.71234130859375,137.80821228027344,260.1388854980469,150.13888549804688,image04932.jpg,m
39847,159.33395385742188,161.3526611328125,177.93492126464844,159.62232971191406,156.0,174.0,164.95750427246094,189.18202209472656,image04940.jpg,m
39849,171.0,149.0,191.0,149.0,188.44020080566406,157.66778564453125,184.0,172.0,image04950.jpg,m
39850,200.64866638183594,176.53543090820312,219.0,173.0,222.8346405029297,185.15185546875,217.0,196.0,image04954.jpg,m
39851,130.0,106.0,173.0,113.0,161.0,143.0,150.0,164.0,image04965.jpg,f
39854,378.0,157.0,408.0,175.0,415.0,212.0,398.0,252.0,image04990.jpg,f
39858,265.0,250.0,373.0,237.0,372.0,315.0,357.0,373.0,image05035.jpg,f
39859,129.0,55.0,164.0,81.0,157.0,87.0,137.0,106.0,image05038.jpg,f
39860,182.0,205.0,241.0,153.0,282.0,195.0,294.0,240.0,image05045.jpg,f
39861,344.0,389.0,338.0,248.0,442.0,311.0,510.0,314.0,image05114.jpg,f
39864,577.0,547.0,795.0,515.0,789.0,699.0,742.0,833.0,image05145.jpg,m
39865,308.0,136.0,394.0,166.0,361.0,221.0,328.0,256.0,image05164.jpg,f
39866,341.0,226.0,419.0,208.0,409.0,262.0,410.0,306.0,image05189.jpg,f
39867,362.0,270.0,418.0,290.0,417.0,306.0,395.0,345.0,image05200.jpg,m
39868,629.0,344.0,666.0,339.0,659.0,359.0,658.0,378.0,image05200.jpg,m
39869,402.0,243.0,517.0,244.0,542.0,324.0,512.0,401.0,image05201.jpg,m
39871,145.0,203.0,201.0,161.0,214.0,203.0,225.0,242.0,image05225.jpg,f
39872,70.0,175.0,163.0,119.0,124.0,195.0,153.0,247.0,image05232.jpg,f
39873,567.0,707.0,893.0,771.0,828.0,1015.0,742.0,1174.0,image05259.jpg,f
39874,1022.0,378.0,1153.0,443.0,1107.0,526.0,1042.0,590.0,image05279.jpg,f
39875,119.0,154.0,167.0,158.0,131.0,203.0,149.0,237.0,image05282.jpg,f
39876,156.0,104.0,183.0,117.0,172.0,124.0,161.0,140.0,image05299.jpg,f
39877,1622.0,1402.0,1946.0,1529.0,1818.0,1768.0,1632.0,1939.0,image05307.jpg,f
39878,146.0,169.0,262.0,171.0,259.0,230.0,250.0,311.0,image05310.jpg,f
39879,151.0,116.0,176.0,121.0,178.0,134.0,169.0,163.0,image05348.jpg,f
39880,213.0,103.0,253.0,104.0,253.0,140.0,241.0,164.0,image05361.jpg,f
39882,134.0,258.0,278.0,203.0,263.0,303.0,270.0,381.0,image05367.jpg,f
39883,183.0,198.0,221.0,196.0,221.0,248.0,192.0,277.0,image05369.jpg,f
39885,288.0,805.0,704.0,689.0,395.0,1191.0,585.0,1363.0,image05393.jpg,f
39887,177.0,190.0,230.0,206.0,220.0,249.0,198.0,276.0,image05419.jpg,f
39888,127.0,165.0,193.0,145.0,186.0,189.0,192.0,230.0,image05420.jpg,f
39889,120.0,175.0,198.0,125.0,190.0,196.0,210.0,232.0,image05442.jpg,f
39896,879.0,806.0,1569.0,864.0,1248.0,1380.0,1182.0,1683.0,image05561.jpg,f
39897,1034.0,1211.0,1415.0,1185.0,1422.0,1518.0,1347.0,1735.0,image05577.jpg,m
39898,965.0,650.0,1355.0,746.0,1309.0,779.0,1252.0,1074.0,image05592.jpg,m
39899,294.0,312.0,399.0,303.0,411.0,390.0,384.0,483.0,image05603.jpg,m
39901,315.0,432.0,556.0,419.0,574.0,602.0,500.0,760.0,image05619.jpg,f
39902,194.0,91.0,234.0,74.0,191.0,134.0,223.0,161.0,image05624.jpg,f
39905,908.0,417.0,1066.0,431.0,1061.0,554.0,1026.0,634.0,image05657.jpg,f
39906,251.0,217.0,279.0,226.0,275.0,238.0,263.0,257.0,image05663.jpg,f
39907,1153.0,658.0,1414.0,621.0,1575.0,943.0,1521.0,1185.0,image05666.jpg,f
39909,782.0,546.0,921.0,506.0,997.0,649.0,943.0,775.0,image05683.jpg,f
39910,555.0,287.0,663.0,304.0,657.0,362.0,640.0,437.0,image05689.jpg,m
39911,181.0,117.0,235.0,131.0,239.0,152.0,229.0,195.0,image05691.jpg,m
39912,186.0,215.0,273.0,211.0,274.0,304.0,248.0,350.0,image05710.jpg,f
39914,317.0,105.0,405.0,125.0,391.0,197.0,359.0,237.0,image05719.jpg,f
39915,123.0,227.0,206.0,249.0,208.0,264.0,186.0,325.0,image05733.jpg,f
39917,1646.0,884.0,1858.0,980.0,1791.0,1079.0,1706.0,1178.0,image05813.jpg,f
39919,155.0,107.0,225.0,66.0,238.0,106.0,255.0,148.0,image05820.jpg,f
39920,223.0,172.0,277.0,179.0,285.0,202.0,289.0,250.0,image05831.jpg,f
39927,442.0,318.0,540.0,293.0,542.0,405.0,514.0,459.0,image05894.jpg,f
39928,1503.0,1369.0,1740.0,1434.0,1788.0,1559.0,1687.0,1725.0,image05908.jpg,m
39929,713.0,515.0,913.0,496.0,884.0,596.0,856.0,784.0,image05918.jpg,f
39930,984.0,569.0,1108.0,630.0,1048.0,722.0,991.0,785.0,image05929.jpg,f
39931,242.0,176.0,291.0,190.0,288.0,230.0,267.0,261.0,image05933.jpg,f
39941,344.0,454.0,476.0,497.0,448.0,598.0,410.0,669.0,image06069.jpg,f
39942,301.0,169.0,332.0,178.0,325.0,204.0,309.0,220.0,image06073.jpg,m
39943,502.0,806.0,924.0,959.0,519.0,1146.0,490.0,1352.0,image06085.jpg,m
39947,242.0,378.0,389.0,397.0,331.0,514.0,317.0,579.0,image06110.jpg,m
39950,250.0,160.0,312.0,168.0,297.0,217.0,281.0,247.0,image06129.jpg,f
39952,127.0,151.0,227.0,176.0,167.0,232.0,153.0,273.0,image06142.jpg,f
39953,219.0,101.0,328.0,161.0,189.0,196.0,189.0,257.0,image06145.jpg,f
39954,263.0,130.0,313.0,129.0,296.0,161.0,290.0,192.0,image06152.jpg,f
